Check Number        Amount              Date
465937              60.0                01/03
465942              50.43               01/10
465952              96.2                01/03
465954              45.65               01/09
465956              51.99               01/03
465959              25.0                01/05
465961              6.69                01/19
465966              25.0                01/10
465967              3.41                01/17
465972              89.99               01/09
465974              19.74               01/10
465975              74.26               01/10
465977              51.52               01/19
465979              222.29              01/09
465982              68.6                01/12
465983              16.71               01/17
465984              75.9                01/11
465985              75.12               01/11
465986              29.0                01/10
465987              21.61               01/18
465989              20.36               01/19
465990              3.69                01/10
465991              9.7                 01/13
465993              50.0                01/12
465995              100.0               01/12
465996              1043.41             01/10
465997              1708.75             01/11
465999              2511.9              01/11
466002              84.69               01/10
466004              298.78              01/18
466007              28.44               01/12
466009              35.42               01/17
466012              3.11                01/17
466014              40.0                01/13
466019              9.0                 01/18
466020              2.33                01/09
466022              10.17               01/19
466025              32.24               01/11
466026              75.0                01/10
466027              43.12               01/10
466032              485.42              01/10
466044              1000.0              01/03
466051              6000.0              01/03
466052              4000.0              01/04
466053              5600.0              01/03
466054              2500.0              01/03
466055              4885.92             01/03
466056              2242.0              01/03
466057              1500.0              01/05
466069              2165.0              01/05
466071              144.12              01/03
466079              232.8               01/05
466082              757.73              01/03
466094              8714.89             01/03
466133              3150.28             01/03
466142              5000.0              01/04
466144              200.0               01/17
466145              337.5               01/10
466146              125.0               01/10
466147              500.0               01/05
466151              841.0               01/09
466154              700.0               01/04
466159              630.0               01/09
466167              1500.0              01/05
466175              3900.0              01/04
466181              1113.55             01/03
466182              4708.7              01/05
466188              7000.0              01/03
466198              1100.0              01/05
466202              56.29               01/11
466211              1200.0              01/05
466214              1980.0              01/09
466216              1300.0              01/09
466223              879.43              01/04
466226              2600.0              01/04
466248              9000.0              01/04
466251              10350.0             01/06
466252              3012.65             01/04
466258              14850.0             01/03
466270              5202.0              01/05
466278              102.28              01/04
466289              2152.0              01/04
466298              1150.71             01/05
466302              4000.0              01/04
466303              10000.0             01/09
466306              4119.0              01/03
466309              6000.0              01/05
466311              1500.0              01/09
466319              10000.0             01/17
466327              500.0               01/03
466329              19.46               01/05
466330              1.92                01/03
466333              201.93              01/17
466336              3.39                01/10
466337              400.0               01/06
466338              523.42              01/03
466340              25.0                01/17
466344              243.04              01/06
466346              1287.0              01/03
466347              5.35                01/13
466353              24.42               01/17
466355              102.73              01/10
466356              28.0                01/12
466357              54.0                01/17
466358              16.78               01/10
466359              23.63               01/10
466360              35.0                01/10
466365              5.35                01/19
466366              26.0                01/11
466367              30.49               01/19
466369              35.92               01/09
466373              600.0               01/12
466375              200.0               01/19
466376              89.91               01/09
466377              180.0               01/11
466378              289.67              01/12
466379              11.88               01/19
466380              40.31               01/10
466381              200.28              01/09
466382              611.29              01/13
466383              200.0               01/11
466384              1069.55             01/10
466385              646.3               01/10
466395              3600.0              01/03
466397              323.58              01/04
466398              782.84              01/03
466399              1500.0              01/03
466400              900.0               01/03
466401              3500.0              01/03
466404              2068.01             01/05
466406              11210.58            01/03
466408              4230.97             01/03
466410              2000.0              01/03
466411              2681.25             01/03
466413              7000.0              01/03
466414              499.55              01/03
